Node;T(K)
1;613.6
2;558.6
3;506.6
4;458.1
5;613.2
6;556.3
7;503.9
8;455.7
9;611.5
10;548.2
11;494.6
12;447.9
13;600.5
14;528.7
15;476.0
16;432.6
17;487.8
18;445.4
19;407.4
20;407.4
21;367.9
22;287.7
