Node;T(K)
1;613.0
2;554.8
3;501.2
4;453.2
5;612.6
6;552.4
7;498.3
8;450.6
9;610.8
10;543.8
11;488.4
12;442.3
13;599.2
14;523.2
15;469.0
16;426.4
17;480.4
18;437.5
19;400.7
20;399.5
21;361.3
22;282.2
