Node;T(K)
1;604.8
2;501.9
3;450.4
4;490.9
5;603.7
6;493.9
7;426.5
8;403.8
9;600.5
10;478.8
11;403.2
12;370.4
13;580.8
14;450.0
15;379.1
16;349.6
17;391.5
18;349.5
19;330.5
20;327.0
21;316.4
22;309.7
