Node;T(K)
1;615.3
2;569.7
3;522.6
4;472.7
5;615.0
6;568.1
7;520.7
8;471.0
9;613.7
10;562.1
11;513.9
12;465.2
13;604.9
14;546.6
15;499.0
16;452.9
17;512.2
18;472.1
19;430.2
20;434.6
21;390.6
22;306.6
