Node;T(K)
1;603.6
2;494.2
3;421.1
4;382.6
5;599.7
6;479.6
7;408.9
8;373.8
9;563.3
10;422.1
11;370.8
12;347.8
13;107.1
14;280.3
15;312.0
16;312.3
17;284.3
18;290.3
19;290.4
20;278.1
21;267.3
22;206.3
