Node;T(K)
1;615.5
2;572.5
3;540.8
4;540.9
5;614.7
6;566.8
7;524.9
8;485.4
9;612.5
10;555.1
11;506.5
12;461.1
13;601.9
14;534.5
15;485.0
16;441.8
17;495.9
18;457.3
19;420.6
20;427.7
21;398.1
22;375.4
