Node;T(K)
1;614.5
2;565.9
3;532.2
4;536.2
5;613.6
6;559.5
7;515.0
8;477.1
9;611.1
10;546.4
11;494.6
12;450.5
13;599.1
14;523.3
15;470.8
16;429.3
17;480.9
18;441.1
19;406.8
20;411.4
21;384.5
22;364.1
