Node;T(K)
1;603.6
2;494.3
3;421.2
4;382.7
5;599.7
6;479.7
7;409.0
8;373.9
9;563.3
10;422.3
11;371.0
12;348.0
13;108.0
14;280.8
15;312.3
16;312.4
17;284.6
18;290.5
19;290.6
20;278.4
21;267.5
22;206.8
